id,title,release_date,popularity,vote_average,vote_count,original_language,genre_ids,overview
1226863,The Super Mario Galaxy Movie,2026-04-01,446.092,6.727,783,en,"[10751, 35, 12, 14, 16]","Having thwarted Bowser's previous plot to marry Princess Peach, Mario and Luigi now face a fresh threat in Bowser Jr., who is determined to liberate his father from captivity and restore the family legacy. Alongside companions new and old, the brothers travel across the stars to stop the young heir's crusade."
1007757,Swapped,2026-05-01,439.2825,8.391,175,en,"[12, 16, 10751, 14]","A small woodland creature and a majestic bird, two natural sworn enemies of the Valley, magically trade places and set off on an adventure of a lifetime to switch back. Their journey soon uncovers a greater threat—one that could endanger not only their species, but the entire valley they call home."
1318447,Apex,2026-04-24,341.5739,6.476,779,en,"[28, 53]",A grieving woman pushing her limits on a solo adventure in the Australian wild is ensnared in a twisted game with a cunning killer who thinks she's prey.
10867,Malena,2000-10-27,286.7423,7.431,2504,it,[18],"12-year-old Renato experiences three significant events on the same day: the beginning of the Second World War, getting a bike, and witnessing the arrival of the gorgeous Malèna. Through his eyes, we see the curse of beauty and loneliness of Malena, whose husband is presumed dead, and, through his soul, we see his love for her."
1198994,Send Help,2026-01-22,260.0754,6.998,1274,en,"[27, 53, 35]","Two colleagues become stranded on a deserted island, the only survivors of a plane crash. On the island, they must overcome past grievances and work together to survive, but ultimately, it's a battle of wills and wits to make it out alive."
350,The Devil Wears Prada,2006-06-29,253.3405,7.392,13225,en,"[18, 35]","A young woman from the Midwest gets more than she bargained for when she moves to New York to become a writer and ends up as the assistant to the tyrannical, larger-than-life editor-in-chief of a major fashion magazine."
1523145,Your Heart Will Be Broken,2026-03-26,196.381,6.882,76,ru,"[10749, 18]","High school student Polina is saved from bullying at her new school and makes a deal with the main bully Bars: he must pretend to be her boyfriend and protect her, and she must do everything he says. During this game, the couple develops real feelings, but her family and classmates have reasons to separate the lovers."
931285,Mortal Kombat II,2026-05-06,203.4867,7.08,81,en,"[28, 14, 12]","The fan favorite champions—now joined by Johnny Cage himself—are pitted against one another in the ultimate, no-holds barred, gory battle to defeat the dark rule of Shao Kahn that threatens the very existence of the Earthrealm and its defenders."
936075,Michael,2026-04-22,178.0806,7.567,599,en,"[10402, 18]","The story of Michael Jackson, one of the most influential artists the world has ever known, and his life beyond the music. His journey from the discovery of his extraordinary talent as the lead of the Jackson Five, to the visionary artist whose creative ambition fueled a relentless pursuit to become the biggest entertainer in the world, highlighting both his life off-stage and some of the most iconic performances from his early solo career."
1669050,Tayuan 2,2026-04-17,168.8189,3.7,3,tl,[18],"A charming bus conductor drawn to both men and women who feels an unexpected spark with a shy commuter. On crowded bus rides where bodies brush, desire grows and love becomes messy."
1327819,Hoppers,2026-03-04,171.2963,7.8,817,en,"[12, 16, 35, 10751, 878]","Scientists have discovered how to 'hop' human consciousness into lifelike robotic animals, allowing people to communicate with animals as animals. Animal lover Mabel seizes an opportunity to use the technology, uncovering mysteries within the animal world beyond anything she could have imagined."
83533,Avatar: Fire and Ash,2025-12-17,164.0233,7.375,2862,en,"[878, 12, 14]","In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits."
1266127,Ready or Not 2: Here I Come,2026-03-19,175.541,7.2,449,en,"[27, 35]","Moments after surviving an all-out attack from the Le Domas family, Grace discovers she’s reached the next level of the nightmarish game — and this time with her estranged sister Faith at her side. Grace has one chance to survive, keep her sister alive, and claim the High Seat of the Council that controls the world. Four rival families are hunting her for the throne, and whoever wins rules it all."
1314481,The Devil Wears Prada 2,2026-04-29,135.3727,6.765,389,en,"[35, 18]","Andy Sachs returns to Runway as Miranda Priestly navigates a new media landscape and Runway's position within. The duo reconnect with former assistant Emily Charlton, now the head of a luxury brand that possesses funding which could ensure Runway's survival."
1630423,My Dearest Assassin,2026-05-06,168.7149,6.5,16,th,"[28, 18, 10749]","Hunted for her rare blood type, a caged woman vows to fight alongside the assassin she loves to protect their future when an old enemy resurfaces."
1613798,Vengeance,2026-02-26,135.173,7.112,143,es,"[28, 53]","The brutal murder of the wife of “Toro,” a military hero in the special forces, turns him into a man with a single purpose: revenge. After a stroke of fate makes him a millionaire, Carlos transforms his fortune into an arsenal and, together with his closest soldiers, sets out to hunt down those responsible."
1292695,They Will Kill You,2026-03-25,131.6238,6.72,403,en,"[28, 35, 27]","A woman answers a help wanted ad to be a housekeeper in a mysterious New York City high-rise, unaware that she is entering a community that has seen a number of disappearances over the years and may be under the grip of a Satanic cult."
318256,Hot Girls Wanted,2015-01-24,162.6933,6.083,709,en,[99],A first-ever look at the realities of the professional “amateur” porn world and the steady stream of 18-to-19-year old girls entering into it.
1297842,GOAT,2026-02-11,127.4306,7.966,513,en,"[16, 35, 10751]","A small goat with big dreams gets a once-in-a-lifetime shot to join the pros and play roarball, a high-intensity, co-ed, full-contact sport dominated by the fastest, fiercest animals in the world."
687163,Project Hail Mary,2026-03-15,124.3072,8.205,1994,en,"[878, 12]","Science teacher Ryland Grace wakes up on a spaceship light years from home with no recollection of who he is or how he got there. As his memory returns, he begins to uncover his mission: solve the riddle of the mysterious substance causing the sun to die out. He must call on his scientific knowledge and unorthodox ideas to save everything on Earth from extinction."
980431,Avatar Aang: The Last Airbender,2026-10-09,116.7872,0.0,0,en,"[16, 28, 12, 14]","Avatar Aang, the world's last Airbender, learns of an ancient power that could save his culture from extinction. With the help of his friends, he embarks on a global quest to find it before it falls into the wrong hands and threatens to upend the peace they sacrificed everything to achieve."
1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025-07-18,107.311,7.705,821,ja,"[16, 28, 14]","The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro, Nezuko, and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins."
1510745,Bodycam,2026-03-12,104.7333,5.1,39,en,[27],"A call to a quiet suburban home unleashes unthinkable carnage when two officers mistakenly shoot a man and his infant child, spiraling the tragedy into a fierce, unrelenting fall into the unknown."
1290821,Shelter,2026-01-28,98.3655,6.909,685,en,"[28, 80, 53]","A man living in self-imposed exile on a remote island rescues a young girl from a violent storm, setting off a chain of events that forces him out of seclusion to protect her from enemies tied to his past."
1325734,The Drama,2026-03-26,107.3735,7.0,678,en,"[10749, 35, 18]",A happily engaged couple is put to the test when an unexpected turn sends their wedding week off the rails.
1084242,Zootopia 2,2025-11-26,96.7903,7.613,2680,en,"[12, 16, 35, 10751, 9648]","After cracking the biggest case in Zootopia's history, rookie cops Judy Hopps and Nick Wilde find themselves on the twisting trail of a great mystery when Gary De'Snake arrives and turns the animal metropolis upside down. To crack the case, Judy and Nick must go undercover to unexpected new parts of town, where their growing partnership is tested like never before."
1414413,Brothers Under Fire,2026-04-15,95.3832,6.237,19,en,"[28, 53, 9648, 18]","Captain Jordan Wright's squadron on leave for a wedding in Mexico encounters a murderous cartel. As Jordan tries to lead survivors to safety, war erupts between his squad and the cartel, forcing him into a battle to save his men."
